"Scenario" "SGlocation" "verticalLimit" "Intercept" "Slope"
"Anisotropy silty loam" "Corner" 1 1.43230768930994 -2.00967110291986
"Anisotropy silty loam" "Corner" 0.5 1.34593262970193 -1.80417114901868
"Anisotropy silty loam" "Trans" 5 2.00761770940534 -3.55461380819161
"Anisotropy silty loam" "Trans" 4.5 1.89345747331074 -3.20077166298914
"Anisotropy silty loam" "Trans" 4 1.81926716438561 -2.98797610758837
"Anisotropy silty loam" "Trans" 3.5 1.73567024610493 -2.74411366966723
"Anisotropy silty loam" "Trans" 3 1.66596842167233 -2.5515072384584
"Anisotropy silty loam" "Trans" 2.5 1.60909668584735 -2.4091646903305
"Anisotropy silty loam" "Trans" 2 1.5614061429456 -2.30959274018414
"Anisotropy silty loam" "Trans" 1.5 1.51258572513364 -2.21830447243969
"Anisotropy silty loam" "Trans" 1 1.43251413304508 -2.0196253983939
"Anisotropy silty loam" "Trans" 0.5 1.34237439473855 -1.79749206042375
"Anisotropy silty loam" "Side" 5 1.86875097889586 -3.06997268628076
"Anisotropy silty loam" "Side" 4.5 1.76228545655981 -2.74058787917734
"Anisotropy silty loam" "Side" 4 1.70248514827857 -2.57359745272304
"Anisotropy silty loam" "Side" 3.5 1.63634900639429 -2.38542751529717
"Anisotropy silty loam" "Side" 3 1.58596651809304 -2.25485282394954
"Anisotropy silty loam" "Side" 2.5 1.55007110378191 -2.18161329551587
"Anisotropy silty loam" "Side" 2 1.52919835690123 -2.17683164131554
"Anisotropy silty loam" "Side" 1.5 1.50917049982091 -2.19434953391628
"Anisotropy silty loam" "Side" 1 1.43485839095491 -2.02006078601567
"Anisotropy silty loam" "Side" 0.5 1.34548187944515 -1.80359929748623
"Anisotropy clay loam" "Wettzell" 5 1.81278023608471 -2.70100458650995
"Anisotropy clay loam" "Wettzell" 4.5 1.73502433619261 -2.47177197235909
"Anisotropy clay loam" "Wettzell" 4 1.70943430314542 -2.41043318519976
"Anisotropy clay loam" "Wettzell" 3.5 1.67068491658237 -2.30844008473556
"Anisotropy clay loam" "Wettzell" 3 1.64198329908665 -2.24192836367171
"Anisotropy clay loam" "Wettzell" 2.5 1.62222820414674 -2.20984074645409
"Anisotropy clay loam" "Wettzell" 2 1.61140479198968 -2.2171605093211
"Anisotropy clay loam" "Wettzell" 1.5 1.60154426405587 -2.24161725092023
"Anisotropy clay loam" "Wettzell" 1 1.53357165713035 -2.07790022108108
"Anisotropy clay loam" "Wettzell" 0.5 1.43988075489433 -1.8404452571909
"Anisotropy clay loam" "Center" 5 1.91394032286068 -3.02831861820599
"Anisotropy clay loam" "Center" 4.5 1.82491383615147 -2.76508586745237
"Anisotropy clay loam" "Center" 4 1.78906417593519 -2.67327503779127
"Anisotropy clay loam" "Center" 3.5 1.74008199358478 -2.5408329504874
"Anisotropy clay loam" "Center" 3 1.70096568254078 -2.4432642083663
"Anisotropy clay loam" "Center" 2.5 1.66911224414229 -2.37421748265376
"Anisotropy clay loam" "Center" 2 1.64053599767634 -2.32400674309815
"Anisotropy clay loam" "Center" 1.5 1.60294084759069 -2.25306228079689
"Anisotropy clay loam" "Center" 1 1.52984745823028 -2.07041167016665
"Anisotropy clay loam" "Center" 0.5 1.43780464847592 -1.83616290187698
"Anisotropy clay loam" "Corner" 5 1.60299646051457 -2.02511311392052
"Anisotropy clay loam" "Corner" 4.5 1.55290321056214 -1.88054145571699
"Anisotropy clay loam" "Corner" 4 1.5581575926869 -1.91390832490368
"Anisotropy clay loam" "Corner" 3.5 1.54351923121446 -1.88595090369047
"Anisotropy clay loam" "Corner" 3 1.53669681814629 -1.88702144977983
"Anisotropy clay loam" "Corner" 2.5 1.53872071447955 -1.92361548433204
"Anisotropy clay loam" "Corner" 2 1.55828169138235 -2.03165974226948
"Anisotropy clay loam" "Corner" 1.5 1.58361414325174 -2.1777013834292
"Anisotropy clay loam" "Corner" 1 1.52621571814427 -2.05164409479363
"Anisotropy clay loam" "Corner" 0.5 1.44018476547829 -1.84020582185404
"Anisotropy clay loam" "Trans" 5 1.89251449667964 -2.95884852727962
"Anisotropy clay loam" "Trans" 4.5 1.80554028218899 -2.70172583022651
"Anisotropy clay loam" "Trans" 4 1.7713223844666 -2.61459266278047
"Anisotropy clay loam" "Trans" 3.5 1.72435716561733 -2.48805091996292
"Anisotropy clay loam" "Trans" 3 1.68742222923442 -2.39690311791213
"Anisotropy clay loam" "Trans" 2.5 1.65816467687401 -2.33571364623013
"Anisotropy clay loam" "Trans" 2 1.63312841364659 -2.29692472401319
"Anisotropy clay loam" "Trans" 1.5 1.60178430698686 -2.24747197845507
"Anisotropy clay loam" "Trans" 1 1.53016290918621 -2.07023104518226
"Anisotropy clay loam" "Trans" 0.5 1.43793373394455 -1.83657630387812
"Anisotropy clay loam" "Side" 5 1.7399271514662 -2.46613024009419
"Anisotropy clay loam" "Side" 4.5 1.67199048316714 -2.26700343508201
"Anisotropy clay loam" "Side" 4 1.65749051701699 -2.23982770788463
"Anisotropy clay loam" "Side" 3.5 1.6273295523162 -2.16432423392414
"Anisotropy clay loam" "Side" 3 1.60644817952334 -2.12214054413692
"Anisotropy clay loam" "Side" 2.5 1.59453084050198 -2.11500372490451
"Anisotropy clay loam" "Side" 2 1.59439281483444 -2.15812552997817
"Anisotropy clay loam" "Side" 1.5 1.59305952890075 -2.21170293388916
"Anisotropy clay loam" "Side" 1 1.52952311495599 -2.06331814462553
"Anisotropy clay loam" "Side" 0.5 1.4399639264287 -1.84013527099453
"Climate AI=0.35" "Wettzell" 5 0.881718840687159 -0.0908533645370461
"Climate AI=0.35" "Wettzell" 4.5 0.911237982975229 -0.356132905536205
"Climate AI=0.35" "Wettzell" 4 0.969802264764506 -0.878747350439209
"Climate AI=0.35" "Wettzell" 3.5 1.0226742522518 -1.34965183568299
"Climate AI=0.35" "Wettzell" 3 1.08282437332918 -1.88989759011216
"Climate AI=0.35" "Wettzell" 2.5 1.15095436756151 -2.51100335123849
"Climate AI=0.35" "Wettzell" 2 1.21532472582526 -3.13227287536194
"Climate AI=0.35" "Wettzell" 1.5 1.24259467503535 -3.49401966689654
"Climate AI=0.35" "Wettzell" 1 1.21509887773368 -3.39702161485809
"Climate AI=0.35" "Wettzell" 0.5 1.16698878842103 -3.18407535770661
"Climate AI=0.35" "Center" 5 0.842252716663203 0.164072353119366
"Climate AI=0.35" "Center" 4.5 0.87281013795422 -0.109567429880281
"Climate AI=0.35" "Center" 4 0.930568024022437 -0.626435680029639
"Climate AI=0.35" "Center" 3.5 0.984004492990764 -1.10161386212482
"Climate AI=0.35" "Center" 3 1.04696723882583 -1.66224274645262
"Climate AI=0.35" "Center" 2.5 1.12191128400279 -2.33097356268166
"Climate AI=0.35" "Center" 2 1.19517695866122 -3.00641808319599
"Climate AI=0.35" "Center" 1.5 1.22757610762097 -3.37523508050464
"Climate AI=0.35" "Center" 1 1.20995436937774 -3.35448575881511
"Climate AI=0.35" "Center" 0.5 1.166915118245 -3.18227448471845
"Climate AI=0.35" "Corner" 5 0.661331172370638 1.75334663080982
"Climate AI=0.35" "Corner" 4.5 0.710138784850364 1.33577514756344
"Climate AI=0.35" "Corner" 4 0.791750484804157 0.62952829252329
"Climate AI=0.35" "Corner" 3.5 0.875164954770292 -0.0827412760982191
"Climate AI=0.35" "Corner" 3 0.965356310477282 -0.862425176988471
"Climate AI=0.35" "Corner" 2.5 1.06047104476001 -1.70581718136371
"Climate AI=0.35" "Corner" 2 1.15326341484281 -2.58288570324012
"Climate AI=0.35" "Corner" 1.5 1.21351379838678 -3.24703101937048
"Climate AI=0.35" "Corner" 1 1.20193029435566 -3.285209007073
"Climate AI=0.35" "Corner" 0.5 1.16666054177389 -3.17972735361945
"Climate AI=0.35" "Trans" 5 0.855844921654289 0.0683332436544418
"Climate AI=0.35" "Trans" 4.5 0.885473077662087 -0.197824796542006
"Climate AI=0.35" "Trans" 4 0.942588161624556 -0.709304533514387
"Climate AI=0.35" "Trans" 3.5 0.995183814097721 -1.1778685822701
"Climate AI=0.35" "Trans" 3 1.05668389452986 -1.72744627826735
"Climate AI=0.35" "Trans" 2.5 1.12881328938237 -2.3754523872929
"Climate AI=0.35" "Trans" 2 1.19799364550872 -3.02184750053472
"Climate AI=0.35" "Trans" 1.5 1.22898848379935 -3.38642744587952
"Climate AI=0.35" "Trans" 1 1.20997223465972 -3.35511398830078
"Climate AI=0.35" "Trans" 0.5 1.16641086299349 -3.18108972658025
"Climate AI=0.35" "Side" 5 0.774599409756666 0.785832161354948
"Climate AI=0.35" "Side" 4.5 0.813392561184211 0.447368219711276
"Climate AI=0.35" "Side" 4 0.882778948660781 -0.161465906174359
"Climate AI=0.35" "Side" 3.5 0.949983384443584 -0.745618964486381
"Climate AI=0.35" "Side" 3 1.02436780538089 -1.39913375246445
"Climate AI=0.35" "Side" 2.5 1.10526282408497 -2.12438581448803
"Climate AI=0.35" "Side" 2 1.18208052598637 -2.8550864316449
"Climate AI=0.35" "Side" 1.5 1.22448303335958 -3.34315527466965
"Climate AI=0.35" "Side" 1 1.20740220224097 -3.33112194461189
"Climate AI=0.35" "Side" 0.5 1.16675748018407 -3.18132719034359
"Climate AI=0.575" "Wettzell" 5 1.32992060897148 -3.71127122883133
"Climate AI=0.575" "Wettzell" 4.5 1.32633045517256 -3.71961797952558
"Climate AI=0.575" "Wettzell" 4 1.35499963039488 -3.9818291335216
"Climate AI=0.575" "Wettzell" 3.5 1.36529553500509 -4.1120864338904
"Climate AI=0.575" "Wettzell" 3 1.36600909749038 -4.18842271414317
"Climate AI=0.575" "Wettzell" 2.5 1.35399724959201 -4.19418882719236
"Climate AI=0.575" "Wettzell" 2 1.33213722987332 -4.16014140055796
"Climate AI=0.575" "Wettzell" 1.5 1.29415295840887 -4.04529131239953
"Climate AI=0.575" "Wettzell" 1 1.2219817177755 -3.63498028271679
"Climate AI=0.575" "Wettzell" 0.5 1.11915753225701 -3.02793184455561
"Climate AI=0.575" "Center" 5 1.2907870286514 -3.5340377587478
"Climate AI=0.575" "Center" 4.5 1.28851071530033 -3.55264204030943
"Climate AI=0.575" "Center" 4 1.31890095014166 -3.82847992492859
"Climate AI=0.575" "Center" 3.5 1.332600467247 -3.98250184255212
"Climate AI=0.575" "Center" 3 1.33730109849505 -4.08385346674155
"Climate AI=0.575" "Center" 2.5 1.3305340081943 -4.11639574050973
"Climate AI=0.575" "Center" 2 1.31538272451999 -4.10394577493967
"Climate AI=0.575" "Center" 1.5 1.28196096048765 -3.97100412388226
"Climate AI=0.575" "Center" 1 1.21745854524425 -3.60680259268773
"Climate AI=0.575" "Center" 0.5 1.11861652823877 -3.02523355513578
"Climate AI=0.575" "Corner" 5 1.19649777111436 -2.62722930240539
"Climate AI=0.575" "Corner" 4.5 1.2091458543639 -2.74860796787676
